"SEQN","FPCA_score_1","FPCA_score_2","FPCA_score_3"
62307,-778.129704803854,27.5611192561913,-145.187741966797
62308,-78.5526029916702,-19.9534977573327,291.891826551578
62312,1570.67174635849,-399.739971877379,160.736317600188
62314,-1262.86030614034,27.1597710226024,193.800750179849
62315,-1203.04482853037,-17.0543755962166,124.56045386949
62320,-702.467726148603,-112.869106085476,142.143193100405
62324,-1803.82284937431,103.913394453741,12.8676700097771
62326,-1339.23389580327,-161.108765200959,23.880621797029
62336,3048.30473896602,874.439533542129,-460.499356181505
62347,1250.01612511826,61.6505818596343,211.193725542862
62353,-524.912379972092,-109.17090432987,223.982377210629
62359,1065.44047538916,-881.624042557536,81.4484804985152
62366,-928.270288354013,20.3887328685487,54.2614149628544
62367,1091.82763552537,-1004.41100780042,-111.837587373599
62368,-1295.87117531889,-79.0109266063678,27.637803379033
62377,-742.054345819466,-119.940361200352,202.264633806427
62378,-521.801281318297,61.3450410436328,18.5190346261135
62397,-701.158994987363,-40.876271826584,311.84349574214
62399,37.2196960489381,-445.172883456722,144.797065731427
62409,119.040738924337,117.273788590516,408.02637104203
62411,-1181.12852316782,216.536249045894,-447.836394623806
62413,-826.639479874461,-204.999374357432,221.212087235943
62414,-1626.54261091025,38.6844678982853,-26.5852289847753
62418,-1454.03431717687,-41.1123390014684,1.54683107558202
62419,-856.432148091257,-762.963683533742,-329.219669932501
62431,864.217800433069,931.450610810193,-110.091702346042
62434,371.33227107602,-834.118631338734,-27.7965603481702
62439,-817.716141167703,128.800997640941,247.9368405179
62441,784.029693868104,-234.739431751948,-195.414404506968
62450,-1143.25405545476,-97.6941747411698,133.395563363931
62454,1319.0380887049,227.85278813034,-152.855345271618
62457,-395.665914443003,34.6168444417075,-70.5747968623521
62467,1387.58666709622,-1429.29811096959,90.8323068637312
62471,-1265.51293680262,142.106924422914,27.3936829464977
62474,-1489.88419590093,87.9931384377092,18.0008301167661
62487,2165.81704491556,271.886273216451,-646.966784436668
62500,1081.9683784775,1380.89522765058,-1605.42470829531
62509,1678.25722540562,-190.679013363573,161.608872352189
62510,-1278.95797497326,36.4656465917446,72.8894642431003
62517,-287.299130674337,431.46230526944,-40.9861932866285
62519,-874.66645019375,-364.563368773187,-287.358829410562
62521,465.088630120064,-390.358516156208,13.7062454606345
62522,-798.412194041622,38.6733184344216,-82.6579215601971
62526,-426.650513872278,-328.912890786794,150.764291855543
62527,830.782275054078,-1085.90263362932,-162.837591922968
62529,-318.599309204339,107.992447029723,130.505273002564
62530,541.916896085174,-218.435908156772,109.562250890875
62531,-469.546756867358,201.779186306954,-253.955445494155
62532,-1023.16447828311,-6.56850794973075,277.994408190874
62539,731.64042779465,-132.73466209605,-631.383729905134
62546,-175.458810871665,266.873252677636,688.40069038646
62548,-340.107724921707,-203.133157126079,224.071118374383
62549,1024.87340580776,-131.746393295352,782.249894549013
62560,-846.634107603932,-63.6978392726435,-141.851083081468
62567,-815.967062805441,201.68273883948,-115.853202348333
62572,-788.787727806556,49.471278870817,158.450320307953
