"FPCA_score_1","spline_1","spline_2"
4621.182,0.57064620483648,-0.0726903434123305
4622.182,0.570646135685715,-0.0726256734337632
4623.182,0.570646055512763,-0.0725609903979285
4624.182,0.570645964318873,-0.0724962943063054
4625.182,0.570645862105292,-0.0724315851603724
4626.182,0.570645748873269,-0.0723668629616086
4627.182,0.570645624624053,-0.0723021277114924
4628.182,0.570645489358891,-0.0722373794115027
4629.182,0.570645343079032,-0.0721726180631184
4630.182,0.570645185785724,-0.0721078436678182
4631.182,0.570645017480215,-0.0720430562270807
4632.182,0.570644838163755,-0.0719782557423849
4633.182,0.57064464783759,-0.0719134422152094
4634.182,0.57064444650297,-0.0718486156470331
4635.182,0.570644234161142,-0.0717837760393346
4636.182,0.570644010813355,-0.0717189233935927
4637.182,0.570643776460857,-0.0716540577112864
4638.182,0.570643531104897,-0.0715891789938941
4639.182,0.570643274746722,-0.0715242872428948
4640.182,0.570643007387582,-0.0714593824597672
4641.182,0.570642729028724,-0.0713944646459901
4642.182,0.570642439671396,-0.0713295338030422
4643.182,0.570642139316847,-0.0712645899324024
4644.182,0.570641827966326,-0.0711996330355493
4645.182,0.57064150562108,-0.0711346631139617
4646.182,0.570641172282358,-0.0710696801691185
4647.182,0.570640827951408,-0.0710046842024984
4648.182,0.570640472629478,-0.07093967521558
4649.182,0.570640106317816,-0.0708746532098422
4650.182,0.570639729017672,-0.0708096181867638
4651.182,0.570639340730293,-0.0707445701478235
4652.182,0.570638941456927,-0.0706795090945002
4653.182,0.570638531198823,-0.0706144350282724
4654.182,0.570638109957229,-0.0705493479506191
4655.182,0.570637677733394,-0.0704842478630191
4656.182,0.570637234528565,-0.0704191347669509
4657.182,0.570636780343991,-0.0703540086638935
4658.182,0.57063631518092,-0.0702888695553255
4659.182,0.570635839040601,-0.0702237174427258
4660.182,0.570635351924281,-0.070158552327573
4661.182,0.57063485383321,-0.0700933742113462
4662.182,0.570634344768635,-0.0700281830955237
4663.182,0.570633824731804,-0.0699629789815847
4664.182,0.570633293723967,-0.0698977618710077
4665.182,0.57063275174637,-0.0698325317652715
4666.182,0.570632198800264,-0.0697672886658549
4667.182,0.570631634886895,-0.0697020325742367
4668.182,0.570631060007512,-0.0696367634918956
4669.182,0.570630474163363,-0.0695714814203104
4670.182,0.570629877355697,-0.0695061863609599
